"School_Name","Address"
"PUI KIU INTERNATIONAL KINDERGARTEN","LEVEL 1, PHASE 2 BELAIR GARDENS, SHOPPING ARCADE 52 TAI CHUNG KIU ROAD SHATIN NEW TERRITORIES"
"PUI KIU INTERNATIONAL KINDERGARTEN (PICT","KINDERGARTEN ON THE PODIUM FLOOR PICTORIAL GARDEN PHASE II NO. 23 ON KING STREET SHATIN NEW TERRITORIES"
"SA JAT MIN NURSERY SCH","1/F 
							JAT MIN CHUEN NO. 15, JAT MIN CHUEN STREET SHATIN NEW TERRITORIES"
"SA WO CHE NURSERY SCH","G/F 
							BAYS 101-114, TAK WO HOUSE WO CHE ESTATE SHA TIN NEW TERRITORIES"
"ST. HILARY'S KINDERGARTEN (MA ON SHAN)","SHOPS 4-12, 1/F. THE WATERSIDE 15 ON CHUN STREET MA ON SHAN, SHATIN NEW TERRITORIES"
"THINK INTERNATIONAL KG (MA ON SHAN)","PORTION OF KINDERGARTEN, LEVEL 2 SUNSHINE BAZAAR, MA ON SHAN SHATIN NEW TERRITORIES"
"TRUTH BAPTIST CHURCH GLORY NURSERY","2/F OF THE PODIUM OF GREENFIELD COURT NOS 9-11  SHATIN WAI ROAD SHATIN NEW TERRITORIES"
"TRUTH BAPTIST CHURCH PICTORIAL KG","POD/ F PICTORIAL GARDENS 19-21 ON KING STREET SHATIN NEW TERRITORIES"
"TWGHS LIONS CLUB SOUTH KLN NURSERY SCH","G/F 
							CHUNG WO HOUSE CHUNG ON ESTATE MA ON SHAN SHA TIN NEW TERRITORIES"
"ZENITH KINDERGARTEN (SHATIN)","G/F   THE RIVERPARK 8 CHE KUNG MIU ROAD SHATIN NEW TERRITORIES"
"A LITTLE HUGO EDUCATION CENTRE","G/F, 220 TIN SAM VILLAGE TAI WAI, SHATIN NEW TERRITORIES"
"ACE ENGLISH LEARNING CENTRE","SHOP A19, G/F. MA ON SHAN CENTRE 1 ON CHUN STREET MA ON SHAN, SHATIN NEW TERRITORIES"
"ACE VISION EDUCATION CENTRE","SHOP 38, G/F, BLOCKS N P Q R SUNSHINE CITY MA ON SHAN NEW TERRITORIES"
"ACME LEARNING CENTRE","UNIT 5, 6, 7, 9, 15, 21, 22, 6/F. CITIMARK, 28 YUEN SHUN CIRCUIT SHATIN NEW TERRITORIES"
"ADVANCED PLUS WONDERLAND EDU CTR","G/F., 101 TAI SHUI HANG VILLAGE MA ON SHAN, SHA TIN NEW TERRITORIES"
"AGAPE PLUS EDUCATION CENTRE","SHOP 1, G/F. YAN HEI HOUSE, YAN ON ESTATE 3 HANG CHI STREET MA ON SHAN NEW TERRITORIES"
"AME LEARNING CENTRE","SHOP A8, G/F. MA ON SHAN CENTRE 1 ON CHUN STREET MA ON SHAN, SHATIN NEW TERRITORIES"
"APICAL LEARNING CENTRE (SHATIN)","UNIT H, 6/F KINGS WING PLAZA 2 1 ON KWAN STREET SHEK MUN, SHATIN NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (FO TAN)","SHOP G79, G/F. PLAZA ASCOT, ROYAL ASCOT 1 TSUN KING ROAD SHATIN NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (MA ON SHAN)","SHOP A63 & A63A, G/F MA ON SHAN CENTRE 1 ON CHUN STREET MA ON SHAN, SHA TIN NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (SHEK MUN)","UNIT C, 7/F. KINGS WING PLAZA 1 3 ON KWAN STREET SHEK MUN, SHA TIN NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (TAI WAI)","G/F. 202 TIN SAM VILLAGE TAI WAI, SHATIN NEW TERRITORIES"
"BAPTIST SHATIN EDUCATION CTR (EVENING)","CLASSROOMS 101-105 & 201-205 11 YUEN WO ROAD, LEK YUEN ESTATE SHATIN NEW TERRITORIES"
"BEACON COLLEGE (SHATIN BELAIR GARDEN)","SHOP 1 2 8 10 & 11, LEVEL 1 BELAIR GARDENS SHOPPING ARCADE 52 TAI CHUNG KIU ROAD SHATIN NEW TERRITORIES"
"BEACON COLLEGE (SHATIN)","SHOP NO. 109, 1/F. LEK YUEN PLAZA, LEK YUEN ESTATE 6 LEK YUEN STREET SHATIN NEW TERRITORIES"
"BEST ACHIEVE TUTORIAL CENTRE","SHOP 1, LEVEL 1 GREEN LEAVES GARDEN 15-17 YUEN CHAU KOK ROAD SHATIN NEW TERRITORIES"
"BGCAHK COMMUNITY CREATIVITY EDU CTR","G/F., WING A & B FOOK LAM HOUSE KWONG LAM COURT SHATIN NEW TERRITORIES"
"BLUEPRINT ACADEMY & SPACE EDU CTR(FOTAN)","UNIT 7, 7/F., SHATIN GALLERIA 18-24 SHAN MEI STREET FO TAN, SHATIN NEW TERRITORIES"
"BLUEPRINT ACADEMY AND SPACE EDU CTR","UNITS 15 & 16, 7/F. SHATIN GALLERIA 18-24 SHAN MEI STREET FO TAN, SHATIN NEW TERRITORIES"
